locale,lesson_id,source_run,artifact_id,title,sections,issues_count,banned_hits
ar-Gulf,builder-m1-l1-what-is-llm,27923489720,7781201135,ما هو LLM,10,0,0
ar-Gulf,builder-m1-l2-tokens-training,27925209666,7781804653,التوكنز والتدريب,10,0,0
ar-Gulf,builder-m10-l1-deploy-domain,27923489720,7781203234,إطلاق وتوزيع,10,0,0
ar-Gulf,builder-m10-l2-first-users,27923489720,7781225580,المستخدمون الأوائل,10,0,0
ar-Gulf,builder-m2-l1-prompt-layer,27923489720,7781206482,الطبقة التفاعلية,10,0,0
ar-Gulf,builder-m2-l2-instructions-examples,27923489720,7781207110,بدء الدرس,10,0,0
ar-Gulf,builder-m2-l3-style-control,27923489720,7781206721,أساسيات التحكم في الأسلوب,10,0,0
ar-Gulf,builder-m3-l1-context-layer,27923489720,7781207983,السياق الصحيح,10,0,0
ar-Gulf,builder-m3-l2-memory-limits,27923489720,7781207364,حدود الذاكرة,10,0,0
ar-Gulf,builder-m4-l1-parameters,27925209666,7781805554,معايير (درجة الحرارة),10,0,0
ar-Gulf,builder-m5-l1-transition,27925209666,7781805201,من اللغة للتطبيق,10,0,0
ar-Gulf,builder-m5-l2-frontend,27925425741,7781898112,واجهة التطبيق,10,0,0
ar-Gulf,builder-m5-l3-backend-api,27925209666,7781803839,الـ Backend والـ API,10,0,0
ar-Gulf,builder-m5-l4-database-intro,27923489720,7781492004,مقدمة عن قاعدة البيانات,10,0,0
ar-Gulf,builder-m5-l5-mini-win,27923489720,7781212815,الانتصار الصغير,10,0,0
ar-Gulf,builder-m6-l1-idea-to-page,27923489720,7781216029,من الفكرة للصفحة,10,0,0
ar-Gulf,builder-m6-l2-wireframe,27925209666,7781804239,الوايرفريم قبل البناء,10,0,0
ar-Gulf,builder-m6-l3-first-prompt-to-lovable,27925209666,7781804398,أول برومبت في Lovable,10,0,0
ar-Gulf,builder-m6-l4-components-routes,27923489720,7781216238,مكونات ومسارات,10,0,0
ar-Gulf,builder-m6-l5-iteration,27923489720,7781218170,حلقة التحسين,10,0,0
ar-Gulf,builder-m6-l6-debugging,27923489720,7781219149,تصحيح الأخطاء,10,0,0
ar-Gulf,builder-m7-l1-tables-columns,27923489720,7781444938,بدء الدرس,10,0,0
ar-Gulf,builder-m7-l2-relations,27923489720,7781219505,العلاقات بين الجداول,10,0,0
ar-Gulf,builder-m7-l3-queries,27923489720,7781227030,استعلامات — كيفية جلب البيانات,10,0,0
ar-Gulf,builder-m8-l1-sessions-jwt,27925209666,7781812054,الجلسات والـ JWT,10,0,0
ar-Gulf,builder-m8-l2-rls,27923489720,7781226083,بدء الدرس,10,0,0
ar-Gulf,builder-m9-l1-rag,27923489720,7781448077,بدء الدرس,10,0,0
ar-Gulf,builder-m9-l2-embeddings,27923489720,7781388628,أساسيات الدرس,10,0,0
ar-Gulf,builder-m9-l3-agents,27925209666,7781816932,الوكلاء وقرارات الـ AI,10,0,0
ar-Gulf,business-m1-l1-from-decisions-to-leadership,27925209666,7781824280,من القرارات للقيادة,10,0,0
ar-Gulf,business-m1-l2-reactive-vs-proactive,27923489720,7781228611,رد الفعل مقابل الاستباقية,10,0,0
ar-Gulf,business-m2-l1-customer-lifecycle,27923489720,7781229139,رحلة العميل,10,0,0
ar-Gulf,business-m2-l2-build-your-offer,27923489720,7781229970,بناء عرضك,10,0,0
ar-Gulf,business-m2-l2-retention-flow,27923489720,7781394442,مسار الاحتفاظ,10,0,0
ar-Gulf,business-m2-l3-readiness-signals,27923489720,7781236213,إشارات الجاهزية,10,0,0
ar-Gulf,business-m3-l1-delegate-or-automate,27923489720,7781237262,بدء الدرس,10,0,0
ar-Gulf,business-m3-l2-strategic-operational-admin,27925209666,7781825335,استراتيجي وتشغيلي وإداري,10,0,0
ar-Gulf,business-m3-l3-system-then-people,27923489720,7781237628,نظام ثم ناس,10,0,0
ar-Gulf,business-m4-l1-premature-scaling,27923489720,7781233528,توسّع قبل الأوان,5,0,0
ar-Gulf,business-m4-l2-reactive-relapse,27923489720,7781239893,الرجوع للإطفاء,10,0,0
ar-Gulf,business-m4-l3-weekly-rhythm,27923489720,7781231774,إيقاع أسبوعي,5,0,0
ar-Gulf,business-m4-l4-full-ecosystem,27923489720,7781390543,الدرس الكامل,5,0,0
ar-Gulf,creator-m1-l1-why-content,27925209666,7781815839,ليش المحتوى مو مجرد نشر,10,0,0
ar-Gulf,creator-m1-l2-attention-economy,27923489720,7781240516,اقتصاد الانتباه,10,0,0
ar-Gulf,creator-m2-l1-know-audience,27923489720,7781241224,تعرف على جمهورك,10,0,0
ar-Gulf,creator-m2-l2-content-pillars,27923489720,7781243177,أعمدة المحتوى,10,0,0
ar-Gulf,creator-m3-l1-hook,27925209666,7781816966,الهوك في أول ثواني,10,0,0
ar-Gulf,creator-m3-l2-script-structure,27923489720,7781246762,بنية السكربت,10,0,0
ar-Gulf,creator-m3-l3-cta,27925209666,7781819602,CTA يحرك المشاهد,10,0,0
ar-Gulf,creator-m4-l1-reality-check,27923489720,7781582978,مراجعة الواقع,10,0,0
ar-Gulf,creator-m4-l2-mobile-shooting,27923489720,7781504259,أساسيات التصوير بالهاتف,10,0,0
ar-Gulf,creator-m4-l3-ai-writing,27923489720,7781249100,الذكاء الاصطناعي كمساعد في الكتابة,10,0,0
ar-Gulf,creator-m4-repurposing,27923489720,7781249822,إعادة توظيف المحتوى,10,0,0
ar-Gulf,creator-m5-l1-editing,27923489720,7781249864,تحرير — قص، تعليق، إيقاع,10,0,0
ar-Gulf,creator-m5-l2-thumbnails-captions,27925209666,7781816839,الثمبنيلز والكابشنز,10,0,0
ar-Gulf,creator-m6-l1-platforms,27923489720,7781250460,اختيار المنصات,10,0,0
ar-Gulf,creator-m6-l2-scheduling,27923489720,7781253061,جدولة واستمرارية,10,0,0
ar-Gulf,creator-m6-l3-analytics,27923489720,7781256192,تحليل بسيط,10,0,0
ar-Gulf,creator-m6-l4-leads,27923489720,7781255571,الدرس الأول,10,0,0
ar-Gulf,creator-m7-l1-brand-basics,27923489720,7781257350,أساسيات العلامة التجارية,10,0,0
ar-Gulf,creator-m7-l2-grid-consistency,27923489720,7781258954,اتساق الشبكة في البروفايل,10,0,0
ar-Gulf,intro-m1-l1-what-is-ai,27923489720,7781258420,ما هو الذكاء الاصطناعي,10,0,0
ar-Gulf,intro-m1-l2-first-prompt,27923489720,7781259628,الطلب الواضح,10,0,0
ar-Gulf,intro-m1-l3-setup-your-ai,27923489720,7781259199,إعداد الذكاء الاصطناعي الخاص بك,10,0,0
ar-Gulf,intro-m1-l4-ai-can-cannot,27923489720,7781260812,الذكاء الاصطناعي: ما يمكنه وما لا يمكنه,10,0,0
ar-Gulf,intro-m1-l5-ai-vs-software,27923489720,7781259659,الذكاء الاصطناعي مقابل البرمجيات,10,0,0
ar-Gulf,intro-m1-l6-learn-without-fear,27923489720,7781258743,تعلم بدون خوف,10,0,0
ar-Gulf,intro-m1-l7-choose-your-path,27923489720,7781267896,اختر مسارك,10,0,0
en,analyst-m1-l1-from-automation-to-insight,27923489720,7781263368,From Automation to Insight,10,0,0
en,analyst-m2-l1-feeling-to-question,27923489720,7781410274,Feeling to Question,10,0,0
en,analyst-m2-l2-right-question-rule,27923489720,7781267026,Right Question Rule,10,0,0
en,analyst-m3-l1-three-sources,27923489720,7781268630,Three Sources,10,0,0
en,analyst-m3-l2-ai-summarization,27923489720,7781269531,AI Summarization,10,0,0
en,analyst-m4-automated-dashboard,27923489720,7781266342,Automated Dashboard,6,0,0
en,analyst-m4-l1-pattern-vs-outlier,27923489720,7781270470,Pattern vs Outlier,10,0,0
en,analyst-m4-l2-decision-rule,27923489720,7781276801,Decision Rule,10,0,0
en,analyst-m5-ab-testing,27923489720,7781270737,A/B Testing,10,0,0
en,analyst-m5-l1-four-numbers-dashboard,27923489720,7781271080,Four Numbers Dashboard,10,0,0
en,analyst-m5-l2-weekly-review-ritual,27925212668,7781840861,Weekly Review Ritual,5,0,0
en,analyst-m6-l1-question-mistakes,27923489720,7781269947,Question Mistakes,5,0,0
en,analyst-m6-l2-interpretation-mistakes,27923489720,7781272662,Interpretation Mistakes,5,0,0
en,analyst-m7-l1-from-decisions-to-business,27923489720,7781272939,From Decisions to Business,5,0,0
en,automator-m1-l1-where-you-are,27923489720,7781279705,Where You Are on the Map,10,0,0
en,automator-m2-l1-systems-view,27923489720,7781277182,Systems View,10,0,0
en,automator-m2-l2-spot-patterns,27923489720,7781278287,Spot Patterns,10,0,0
en,automator-m2-l3-decide-what-to-automate,27923489720,7781278525,Decide What to Automate,10,0,0
en,automator-m3-l1-tools-landscape,27923489720,7781279314,Tools Landscape,10,0,0
en,automator-m3-l2-triggers-actions,27923489720,7781278960,Triggers and Actions,10,0,0
en,automator-m3-l3-filters-routers,27923489720,7781278973,Filters and Routers,10,0,0
en,automator-m3-testing-automation,27923489720,7781278987,Testing Automation,10,0,0
en,automator-m4-l1-connect-database,27923489720,7781281552,Connect Database,10,0,0
en,automator-m4-l2-webhooks-api,27923489720,7781289150,Webhooks & APIs,10,0,0
en,automator-m4-l3-error-handling,27923489720,7781284783,Error Handling,10,0,0
en,automator-m5-l1-llm-in-flow,27923489720,7781283349,LLM in Flow,9,0,0
en,automator-m5-l2-rag-in-n8n,27923489720,7781289747,RAG in Automation,7,0,0
en,automator-m5-l3-agents,27923489720,7781285897,Agents,6,0,0
en,automator-m6-l1-lead-capture,27923489720,7781286542,Lead Capture,6,0,0
en,automator-m6-l2-whatsapp-flow,27923489720,7781289146,WhatsApp Flow,6,0,0
en,automator-m6-l3-follow-up,27923489720,7781289839,Follow-up Automation,6,0,0
en,automator-m7-l1-closing-loop,27923489720,7781287796,Closing the Loop,10,0,0
en,builder-m1-l1-what-is-llm,27923489720,7781302244,What Is an LLM,10,0,0
en,builder-m1-l2-tokens-training,27923489720,7781290158,Tokens and Training,10,0,0
en,builder-m10-l1-deploy-domain,27923489720,7781292158,Deploy & Domain,10,0,0
en,builder-m10-l2-first-users,27923489720,7781295520,First Users,10,0,0
en,builder-m2-l1-prompt-layer,27923489720,7781299761,The Prompt Layer,10,0,0
en,builder-m2-l2-instructions-examples,27923489720,7781303343,Instructions vs Examples,10,0,0
en,builder-m2-l3-style-control,27923489720,7781302773,Style Control,10,0,0
en,builder-m3-l1-context-layer,27923489720,7781304780,Context Layer,10,0,0
en,builder-m3-l2-memory-limits,27923489720,7781299704,Memory Limits,10,0,0
en,builder-m4-l1-parameters,27923489720,7781299646,Parameters (Temperature),10,0,0
en,builder-m5-l1-transition,27923489720,7781300095,Transition — From Language to App,10,0,0
en,builder-m5-l2-frontend,27923489720,7781300394,Frontend (Application Interface),10,0,0
en,builder-m5-l3-backend-api,27923489720,7781300670,Backend & API (Mail Carrier),10,0,0
en,builder-m5-l4-database-intro,27923489720,7781509065,Database Intro (Smart Storage),10,0,0
en,builder-m5-l5-mini-win,27923489720,7781305666,Mini Win — Check What You Learned,10,0,0
en,builder-m6-l1-idea-to-page,27923489720,7781308980,Idea to Page,10,0,0
en,builder-m6-l2-wireframe,27923489720,7781309893,Wireframe — Sketch Before You Build,10,0,0
en,builder-m6-l3-first-prompt-to-lovable,27923489720,7781309904,First Prompt to Lovable,10,0,0
en,builder-m6-l4-components-routes,27923489720,7781309722,Components & Routes,10,0,0
en,builder-m6-l5-iteration,27923489720,7781310324,Iteration Loop,10,0,0
en,builder-m6-l6-debugging,27923489720,7781311114,Debugging — When Things Break,10,0,0
en,builder-m7-l1-tables-columns,27923489720,7781312144,Tables & Columns,10,0,0
en,builder-m7-l2-relations,27923489720,7781313427,Relations between Tables,10,0,0
en,builder-m7-l3-queries,27923489720,7781313299,Queries — How to Fetch Data,10,0,0
en,builder-m8-l1-sessions-jwt,27923489720,7781315665,Sessions & JWT,10,0,0
en,builder-m8-l2-rls,27923489720,7781315537,RLS — Row Level Security,10,0,0
en,builder-m9-l1-rag,27923489720,7781319324,RAG — AI Answers from Your Files,10,0,0
en,builder-m9-l2-embeddings,27923489720,7781319436,Embeddings — How AI Finds Information,10,0,0
en,builder-m9-l3-agents,27923489720,7781319281,Agents — AI Takes Decisions,10,0,0
en,business-m1-l1-from-decisions-to-leadership,27923489720,7781320446,From Decisions to Leadership,10,0,0
en,business-m1-l2-reactive-vs-proactive,27923489720,7781320435,Reactive vs Proactive,10,0,0
en,business-m2-l1-customer-lifecycle,27923489720,7781323223,Customer Lifecycle,10,0,0
en,business-m2-l2-build-your-offer,27923489720,7781321251,Build Your Offer,10,0,0
en,business-m2-l2-retention-flow,27923489720,7781323103,Retention Flow,10,0,0
en,business-m2-l3-readiness-signals,27923489720,7781322362,Readiness Signals,10,0,0
en,business-m3-l1-delegate-or-automate,27923489720,7781326047,Delegate or Automate,10,0,0
en,business-m3-l2-strategic-operational-admin,27923489720,7781325312,Strategic / Operational / Admin,10,0,0
en,business-m3-l3-system-then-people,27923489720,7781330248,System Then People,10,0,0
en,business-m4-l1-premature-scaling,27923489720,7781326449,Premature Scaling,5,0,0
en,business-m4-l2-reactive-relapse,27923489720,7781331170,Reactive Relapse,10,0,0
en,business-m4-l3-weekly-rhythm,27923489720,7781327323,Weekly Rhythm,5,0,0
en,business-m4-l4-full-ecosystem,27923489720,7781328698,Full Ecosystem,5,0,0
en,creator-m1-l1-why-content,27923489720,7781330277,Why Content Is Not Posting,10,0,0
en,creator-m1-l2-attention-economy,27923489720,7781331628,Attention Economy,10,0,0
en,creator-m2-l1-know-audience,27923489720,7781332390,Know Your Audience,10,0,0
en,creator-m2-l2-content-pillars,27923489720,7781333744,Content Pillars,10,0,0
en,creator-m3-l1-hook,27923489720,7781342285,Hook — First Seconds,10,0,0
en,creator-m3-l2-script-structure,27923489720,7781335740,Script Structure,10,0,0
en,creator-m3-l3-cta,27923489720,7781337447,CTA — Move the Viewer,10,0,0
en,creator-m4-l1-reality-check,27923489720,7781339251,Reality Check,10,0,0
en,creator-m4-l2-mobile-shooting,27923489720,7781337849,Mobile Shooting,10,0,0
en,creator-m4-l3-ai-writing,27923489720,7781341657,AI as Writing Assistant,10,0,0
en,creator-m4-repurposing,27923489720,7781343105,Repurposing — Content Multiplier,10,0,0
en,creator-m5-l1-editing,27923489720,7781348676,"Editing — Cut, Caption, Pace",10,0,0
en,creator-m5-l2-thumbnails-captions,27923489720,7781343374,Thumbnails and Captions,10,0,0
en,creator-m6-l1-platforms,27923489720,7781351744,Choosing Platforms,10,0,0
en,creator-m6-l2-scheduling,27923489720,7781345833,Scheduling and Consistency,10,0,0
en,creator-m6-l3-analytics,27923489720,7781345054,Simple Analytics Reading,10,0,0
en,creator-m6-l4-leads,27923489720,7781349738,From Views to Leads,10,0,0
en,creator-m7-l1-brand-basics,27923489720,7781349147,"Brand Basics — Colors, Fonts, Logo",10,0,0
en,creator-m7-l2-grid-consistency,27923489720,7781349497,Grid Consistency on Profile,10,0,0
en,intro-m1-l1-what-is-ai,27923489720,7781349842,What Is AI,10,0,0
en,intro-m1-l2-first-prompt,27923489720,7781353409,First Prompt,10,0,0
en,intro-m1-l3-setup-your-ai,27923489720,7781359400,Setup Your AI,10,0,0
en,intro-m1-l4-ai-can-cannot,27923489720,7781353644,AI Can and Cannot,10,0,0
en,intro-m1-l5-ai-vs-software,27923489720,7781352664,AI vs Software,10,0,0
en,intro-m1-l6-learn-without-fear,27923489720,7781355770,Learn Without Fear,10,0,0
en,intro-m1-l7-choose-your-path,27923489720,7781357252,Choose Your Path,10,0,0
